alpha = 0.369098, epsilon = 20, minimising p1 (0.49954325817039213) at 0.56 and p2 (0.4998583674528645) at 0.54
alpha = 0.369099, epsilon = 20, minimising p1 (0.49953766331723276) at 0.56 and p2 (0.4998637659523849) at 0.54
alpha = 0.3691, epsilon = 20, minimising p1 (0.4995320685267339) at 0.56 and p2 (0.49986916451020824) at 0.54
alpha = 0.369101, epsilon = 20, minimising p1 (0.49952647379889825) at 0.56 and p2 (0.4998745631263375) at 0.54
alpha = 0.369102, epsilon = 20, minimising p1 (0.49952087913372056) at 0.56 and p2 (0.4998799618007721) at 0.54
alpha = 0.369103, epsilon = 20, minimising p1 (0.49951528453120475) at 0.56 and p2 (0.49988536053351273) at 0.54
alpha = 0.369104, epsilon = 20, minimising p1 (0.4995096899913466) at 0.56 and p2 (0.49989075932456) at 0.54
alpha = 0.369105, epsilon = 20, minimising p1 (0.4995040955141489) at 0.56 and p2 (0.4998961581739145) at 0.54
alpha = 0.369106, epsilon = 20, minimising p1 (0.49949850109960753) at 0.56 and p2 (0.4999015570815757) at 0.54
alpha = 0.369107, epsilon = 20, minimising p1 (0.499492906747724) at 0.56 and p2 (0.4999069560475466) at 0.54
alpha = 0.369108, epsilon = 20, minimising p1 (0.49948731245849654) at 0.56 and p2 (0.49991235507182663) at 0.54
alpha = 0.369109, epsilon = 20, minimising p1 (0.4994817182319267) at 0.56 and p2 (0.4999177541544164) at 0.54
alpha = 0.36911, epsilon = 20, minimising p1 (0.4994761240680081) at 0.56 and p2 (0.4999231532953166) at 0.54
alpha = 0.369111, epsilon = 20, minimising p1 (0.49947052996674574) at 0.56 and p2 (0.49992855249452783) at 0.54
alpha = 0.369112, epsilon = 20, minimising p1 (0.49946493592813657) at 0.56 and p2 (0.4999339517520507) at 0.54
alpha = 0.369113, epsilon = 20, minimising p1 (0.4994593419521811) at 0.56 and p2 (0.49993935106788584) at 0.54
alpha = 0.369114, epsilon = 20, minimising p1 (0.49945374803887754) at 0.56 and p2 (0.4999447504420339) at 0.54
alpha = 0.369115, epsilon = 20, minimising p1 (0.49944815418822625) at 0.56 and p2 (0.4999501498744943) at 0.54
alpha = 0.369116, epsilon = 20, minimising p1 (0.4994425604002242) at 0.56 and p2 (0.4999555493652701) at 0.54
alpha = 0.369117, epsilon = 20, minimising p1 (0.4994369666748731) at 0.56 and p2 (0.49996094891436066) at 0.54
alpha = 0.369118, epsilon = 20, minimising p1 (0.4994313730121699) at 0.56 and p2 (0.49996634852176774) at 0.54
alpha = 0.369119, epsilon = 20, minimising p1 (0.4994257794121162) at 0.56 and p2 (0.49997174818748863) at 0.54
alpha = 0.36912, epsilon = 20, minimising p1 (0.4994201858747124) at 0.56 and p2 (0.4999771479115285) at 0.54
alpha = 0.369121, epsilon = 20, minimising p1 (0.4994145923999532) at 0.56 and p2 (0.49998254769388334) at 0.54
alpha = 0.369122, epsilon = 20, minimising p1 (0.49940899898784263) at 0.56 and p2 (0.4999879475345573) at 0.54
alpha = 0.369123, epsilon = 20, minimising p1 (0.49940340563837643) at 0.56 and p2 (0.4999933474335509) at 0.54
alpha = 0.369124, epsilon = 20, minimising p1 (0.4993978123515562) at 0.56 and p2 (0.4999987473908626) at 0.54
